Model prediction: [ (1.1, 0.178177)
(1.2, 0.185458)
(1.3, 0.192739)
(1.4, 0.20002)
(1.5, 0.207301)
(1.6, 0.214582)
(1.7, 0.221862)
(1.8, 0.229143)
(1.9, 0.236424)
(2, 0.243705)
(2.1, 0.250986)
(2.2, 0.258267)
(2.3, 0.265548)
(2.4, 0.272829)
(2.5, 0.28011)
(2.6, 0.287391)
(2.7, 0.294671)
(2.8, 0.301952)
(2.9, 0.309233)
(3, 0.316514)
(3.1, 0.323795)
(3.2, 0.331076)
(3.3, 0.338357)
(3.4, 0.345638)
(3.5, 0.352919)
(3.6, 0.3602)
(3.7, 0.367481)
(3.8, 0.374761)
(3.9, 0.382042)
(4, 0.389323)
(4.1, 0.396604)
(4.2, 0.403885)
(4.3, 0.411166)
(4.4, 0.418447)
(4.5, 0.425728)
(4.6, 0.433009)
(4.7, 0.44029)
(4.8, 0.44757)
(4.9, 0.454851)
(5, 0.462132)
(5.1, 0.469413)
(5.2, 0.476694)
(5.3, 0.483975)
(5.4, 0.491256)
(5.5, 0.498537)
(5.6, 0.505818)
(5.7, 0.513099)
(5.8, 0.52038)
(5.9, 0.52766)
(6, 0.534941)
 ]
Actuall function: [ (1.1, 0.0285931)
(1.2, 0.0546965)
(1.3, 0.0787093)
(1.4, 0.100942)
(1.5, 0.12164)
(1.6, 0.141001)
(1.7, 0.159189)
(1.8, 0.176336)
(1.9, 0.192556)
(2, 0.207944)
(2.1, 0.222581)
(2.2, 0.236537)
(2.3, 0.249873)
(2.4, 0.262641)
(2.5, 0.274887)
(2.6, 0.286653)
(2.7, 0.297975)
(2.8, 0.308886)
(2.9, 0.319413)
(3, 0.329584)
(3.1, 0.339421)
(3.2, 0.348945)
(3.3, 0.358177)
(3.4, 0.367133)
(3.5, 0.375829)
(3.6, 0.38428)
(3.7, 0.3925)
(3.8, 0.4005)
(3.9, 0.408293)
(4, 0.415888)
(4.1, 0.423296)
(4.2, 0.430525)
(4.3, 0.437584)
(4.4, 0.444481)
(4.5, 0.451223)
(4.6, 0.457817)
(4.7, 0.464269)
(4.8, 0.470585)
(4.9, 0.47677)
(5, 0.482831)
(5.1, 0.488772)
(5.2, 0.494597)
(5.3, 0.500312)
(5.4, 0.50592)
(5.5, 0.511424)
(5.6, 0.51683)
(5.7, 0.52214)
(5.8, 0.527357)
(5.9, 0.532486)
(6, 0.537528)
 ]
