Model prediction: [ (-3.1415, 0.0208361)
(-3.0415, 0.0360559)
(-2.9415, 0.0512758)
(-2.8415, 0.0664957)
(-2.7415, 0.0817156)
(-2.6415, 0.0969355)
(-2.5415, 0.112155)
(-2.4415, 0.127375)
(-2.3415, 0.142595)
(-2.2415, 0.157815)
(-2.1415, 0.173035)
(-2.0415, 0.188255)
(-1.9415, 0.203475)
(-1.8415, 0.218695)
(-1.7415, 0.233914)
(-1.6415, 0.249134)
(-1.5415, 0.264354)
(-1.4415, 0.279574)
(-1.3415, 0.294794)
(-1.2415, 0.310014)
(-1.1415, 0.325234)
(-1.0415, 0.340454)
(-0.941501, 0.355674)
(-0.841501, 0.370894)
(-0.741501, 0.386114)
(-0.641501, 0.401333)
(-0.541501, 0.416553)
(-0.441501, 0.431773)
(-0.341501, 0.446993)
(-0.241501, 0.462213)
(-0.141501, 0.477433)
(-0.0415007, 0.492653)
(0.0584993, 0.507873)
(0.158499, 0.523093)
(0.258499, 0.538312)
(0.358499, 0.553532)
(0.458499, 0.568752)
(0.558499, 0.583972)
(0.658499, 0.599192)
(0.758499, 0.614412)
(0.858499, 0.629632)
(0.958499, 0.644852)
(1.0585, 0.660072)
(1.1585, 0.675292)
(1.2585, 0.690511)
(1.3585, 0.705731)
(1.4585, 0.720951)
(1.5585, 0.736171)
(1.6585, 0.751391)
(1.7585, 0.766611)
(1.8585, 0.781831)
(1.9585, 0.797051)
(2.0585, 0.812271)
(2.1585, 0.827491)
(2.2585, 0.84271)
(2.3585, 0.85793)
(2.4585, 0.87315)
(2.5585, 0.88837)
(2.6585, 0.90359)
(2.7585, 0.91881)
(2.8585, 0.93403)
(2.9585, 0.94925)
(3.0585, 0.964469)
 ]
Actuall function: [ (-3.1415, 0.499954)
(-3.0415, 0.450037)
(-2.9415, 0.40062)
(-2.8415, 0.352196)
(-2.7415, 0.305248)
(-2.6415, 0.260247)
(-2.5415, 0.217641)
(-2.4415, 0.177856)
(-2.3415, 0.14129)
(-2.2415, 0.108308)
(-2.1415, 0.0792397)
(-2.0415, 0.0543756)
(-1.9415, 0.0339639)
(-1.8415, 0.0182087)
(-1.7415, 0.00726736)
(-1.6415, 0.00124925)
(-1.5415, 0.000214547)
(-1.4415, 0.00417352)
(-1.3415, 0.0130866)
(-1.2415, 0.0268648)
(-1.1415, 0.0453704)
(-1.0415, 0.0684185)
(-0.941501, 0.0957788)
(-0.841501, 0.127178)
(-0.741501, 0.162302)
(-0.641501, 0.200801)
(-0.541501, 0.242289)
(-0.441501, 0.286352)
(-0.341501, 0.332549)
(-0.241501, 0.38042)
(-0.141501, 0.429485)
(-0.0415007, 0.479256)
(0.0584993, 0.529233)
(0.158499, 0.578918)
(0.258499, 0.627815)
(0.358499, 0.675435)
(0.458499, 0.721301)
(0.558499, 0.764957)
(0.658499, 0.805965)
(0.758499, 0.843916)
(0.858499, 0.878431)
(0.958499, 0.909165)
(1.0585, 0.93581)
(1.1585, 0.958101)
(1.2585, 0.975815)
(1.3585, 0.988775)
(1.4585, 0.996851)
(1.5585, 0.999962)
(1.6585, 0.998078)
(1.7585, 0.991218)
(1.8585, 0.979449)
(1.9585, 0.96289)
(2.0585, 0.941706)
(2.1585, 0.916108)
(2.2585, 0.886353)
(2.3585, 0.852738)
(2.4585, 0.815598)
(2.5585, 0.775304)
(2.6585, 0.732261)
(2.7585, 0.686896)
(2.8585, 0.639664)
(2.9585, 0.591036)
(3.0585, 0.541499)
 ]
