odel prediction: [ (1.1, 0.165278)
(1.2, 0.172518)
(1.3, 0.179758)
(1.4, 0.186998)
(1.5, 0.194239)
(1.6, 0.201479)
(1.7, 0.20872)
(1.8, 0.21596)
(1.9, 0.2232)
(2, 0.230441)
(2.1, 0.237681)
(2.2, 0.244922)
(2.3, 0.252162)
(2.4, 0.259403)
(2.5, 0.266643)
(2.6, 0.273883)
(2.7, 0.281124)
(2.8, 0.288365)
(2.9, 0.295604)
(3, 0.302845)
(3.1, 0.310085)
(3.2, 0.317326)
(3.3, 0.324566)
(3.4, 0.331807)
(3.5, 0.339047)
(3.6, 0.346287)
(3.7, 0.353528)
(3.8, 0.360768)
(3.9, 0.368728)
(4, 0.376869)
(4.1, 0.38501)
(4.2, 0.393152)
(4.3, 0.401292)
(4.4, 0.409433)
(4.5, 0.417575)
(4.6, 0.425717)
(4.7, 0.433857)
(4.8, 0.441999)
(4.9, 0.45014)
(5, 0.458281)
(5.1, 0.466422)
(5.2, 0.474564)
(5.3, 0.482705)
(5.4, 0.490846)
(5.5, 0.498987)
(5.6, 0.507129)
(5.7, 0.51527)
(5.8, 0.523411)
(5.9, 0.531552)
(6, 0.530462)
 ]
Actuall function: [ (1.1, 0.0285931)
(1.2, 0.0546965)
(1.3, 0.0787093)
(1.4, 0.100942)
(1.5, 0.12164)
(1.6, 0.141001)
(1.7, 0.159189)
(1.8, 0.176336)
(1.9, 0.192556)
(2, 0.207944)
(2.1, 0.222581)
(2.2, 0.236537)
(2.3, 0.249873)
(2.4, 0.262641)
(2.5, 0.274887)
(2.6, 0.286653)
(2.7, 0.297975)
(2.8, 0.308886)
(2.9, 0.319413)
(3, 0.329584)
(3.1, 0.339421)
(3.2, 0.348945)
(3.3, 0.358177)
(3.4, 0.367133)
(3.5, 0.375829)
(3.6, 0.38428)
(3.7, 0.3925)
(3.8, 0.4005)
(3.9, 0.408293)
(4, 0.415888)
(4.1, 0.423296)
(4.2, 0.430525)
(4.3, 0.437584)
(4.4, 0.444481)
(4.5, 0.451223)
(4.6, 0.457817)
(4.7, 0.464269)
(4.8, 0.470585)
(4.9, 0.47677)
(5, 0.482831)
(5.1, 0.488772)
(5.2, 0.494597)
(5.3, 0.500312)
(5.4, 0.50592)
(5.5, 0.511424)
(5.6, 0.51683)
(5.7, 0.52214)
(5.8, 0.527357)
(5.9, 0.532486)
(6, 0.537528)
 ]
