Model prediction: [ (-3.1415, 0.666031)
(-3.0415, 0.582566)
(-2.9415, 0.499102)
(-2.8415, 0.415638)
(-2.7415, 0.332174)
(-2.6415, 0.24871)
(-2.5415, 0.165246)
(-2.4415, 0.0817816)
(-2.3415, 0)
(-2.2415, 0)
(-2.1415, 0)
(-2.0415, 0)
(-1.9415, 0)
(-1.8415, 0)
(-1.7415, 0)
(-1.6415, 0)
(-1.5415, 0)
(-1.4415, 0)
(-1.3415, 0)
(-1.2415, 0)
(-1.1415, 0)
(-1.0415, 0)
(-0.941501, 0)
(-0.841501, 0.0492668)
(-0.741501, 0.150787)
(-0.641501, 0.242324)
(-0.541501, 0.309548)
(-0.441501, 0.374011)
(-0.341501, 0.440061)
(-0.241501, 0.508929)
(-0.141501, 0.553852)
(-0.0415007, 0.589137)
(0.0584993, 0.632968)
(0.158499, 0.703436)
(0.258499, 0.698751)
(0.358499, 0.650833)
(0.458499, 0.759958)
(0.558499, 0.912102)
(0.658499, 0.57075)
(0.758499, 0.613716)
(0.858499, 0.725263)
(0.958499, 0.861178)
(1.0585, 0.955435)
(1.1585, 0.955435)
(1.2585, 0.955435)
(1.3585, 0.955435)
(1.4585, 0.955435)
(1.5585, 0.955302)
(1.6585, 0.954614)
(1.7585, 0.955459)
(1.8585, 0.949923)
(1.9585, 0.936691)
(2.0585, 0.92346)
(2.1585, 0.91023)
(2.2585, 0.896999)
(2.3585, 0.880855)
(2.4585, 0.852287)
(2.5585, 0.822569)
(2.6585, 0.792851)
(2.7585, 0.763132)
(2.8585, 0.733414)
(2.9585, 0.703696)
(3.0585, 0.673977)
 ]
Actuall function: [ (-3.1415, 0.499954)
(-3.0415, 0.450037)
(-2.9415, 0.40062)
(-2.8415, 0.352196)
(-2.7415, 0.305248)
(-2.6415, 0.260247)
(-2.5415, 0.217641)
(-2.4415, 0.177856)
(-2.3415, 0.14129)
(-2.2415, 0.108308)
(-2.1415, 0.0792397)
(-2.0415, 0.0543756)
(-1.9415, 0.0339639)
(-1.8415, 0.0182087)
(-1.7415, 0.00726736)
(-1.6415, 0.00124925)
(-1.5415, 0.000214547)
(-1.4415, 0.00417352)
(-1.3415, 0.0130866)
(-1.2415, 0.0268648)
(-1.1415, 0.0453704)
(-1.0415, 0.0684185)
(-0.941501, 0.0957788)
(-0.841501, 0.127178)
(-0.741501, 0.162302)
(-0.641501, 0.200801)
(-0.541501, 0.242289)
(-0.441501, 0.286352)
(-0.341501, 0.332549)
(-0.241501, 0.38042)
(-0.141501, 0.429485)
(-0.0415007, 0.479256)
(0.0584993, 0.529233)
(0.158499, 0.578918)
(0.258499, 0.627815)
(0.358499, 0.675435)
(0.458499, 0.721301)
(0.558499, 0.764957)
(0.658499, 0.805965)
(0.758499, 0.843916)
(0.858499, 0.878431)
(0.958499, 0.909165)
(1.0585, 0.93581)
(1.1585, 0.958101)
(1.2585, 0.975815)
(1.3585, 0.988775)
(1.4585, 0.996851)
(1.5585, 0.999962)
(1.6585, 0.998078)
(1.7585, 0.991218)
(1.8585, 0.979449)
(1.9585, 0.96289)
(2.0585, 0.941706)
(2.1585, 0.916108)
(2.2585, 0.886353)
(2.3585, 0.852738)
(2.4585, 0.815598)
(2.5585, 0.775304)
(2.6585, 0.732261)
(2.7585, 0.686896)
(2.8585, 0.639664)
(2.9585, 0.591036)
(3.0585, 0.541499)
 ]
