Model prediction: [ (-0.8, 0.604927)
(-0.775, 0.60491)
(-0.75, 0.597432)
(-0.725, 0.587903)
(-0.7, 0.562612)
(-0.675, 0.479242)
(-0.65, 0.419122)
(-0.625, 0.393832)
(-0.6, 0.368543)
(-0.575, 0.343253)
(-0.55, 0.317964)
(-0.525, 0.292674)
(-0.5, 0.267385)
(-0.475, 0.242095)
(-0.45, 0.216805)
(-0.425, 0.191516)
(-0.4, 0.191125)
(-0.375, 0.190953)
(-0.35, 0.19078)
(-0.325, 0.190608)
(-0.3, 0.190436)
(-0.275, 0.190434)
(-0.25, 0.190454)
(-0.225, 0.190489)
(-0.2, 0.190507)
(-0.175, 0.19052)
(-0.15, 0.190535)
(-0.125, 0.190553)
(-0.1, 0.19057)
(-0.0750002, 0.190588)
(-0.0500002, 0.190605)
(-0.0250002, 0.190623)
(-2.12342e-07, 0.19064)
(0.0249998, 0.190783)
(0.0499998, 0.191078)
(0.0749998, 0.227208)
(0.0999998, 0.277106)
(0.125, 0.327004)
(0.15, 0.376902)
(0.175, 0.4268)
(0.2, 0.46273)
(0.225, 0.495958)
(0.25, 0.529186)
(0.275, 0.562414)
(0.3, 0.595641)
 ]
Actuall function: [ (-0.8, 0.73)
(-0.775, 0.67625)
(-0.75, 0.625)
(-0.725, 0.57625)
(-0.7, 0.53)
(-0.675, 0.48625)
(-0.65, 0.445)
(-0.625, 0.40625)
(-0.6, 0.37)
(-0.575, 0.33625)
(-0.55, 0.305)
(-0.525, 0.27625)
(-0.5, 0.25)
(-0.475, 0.22625)
(-0.45, 0.205)
(-0.425, 0.18625)
(-0.4, 0.17)
(-0.375, 0.15625)
(-0.35, 0.145)
(-0.325, 0.13625)
(-0.3, 0.13)
(-0.275, 0.12625)
(-0.25, 0.125)
(-0.225, 0.12625)
(-0.2, 0.13)
(-0.175, 0.13625)
(-0.15, 0.145)
(-0.125, 0.15625)
(-0.1, 0.17)
(-0.0750002, 0.18625)
(-0.0500002, 0.205)
(-0.0250002, 0.22625)
(-2.12342e-07, 0.25)
(0.0249998, 0.27625)
(0.0499998, 0.305)
(0.0749998, 0.33625)
(0.0999998, 0.37)
(0.125, 0.40625)
(0.15, 0.445)
(0.175, 0.48625)
(0.2, 0.53)
(0.225, 0.57625)
(0.25, 0.625)
(0.275, 0.67625)
(0.3, 0.73)
 ]
