x y groupName
0.4865 -0.9273 cluster_0
0.1285 2.6484 cluster_1
2.7178 2.4891 cluster_2
-2.5650 0.1714 cluster_1
-0.9655 -0.4668 cluster_0
2.7971 0.4471 cluster_2
-1.3271 0.9589 cluster_1
-2.7753 -2.2702 cluster_0
-3.0040 -2.5430 cluster_0
0.1046 1.2313 cluster_1
-2.0491 -1.3208 cluster_0
-1.2065 -1.8085 cluster_0
0.6940 -2.4763 cluster_0
-0.5125 -2.5133 cluster_0
2.4194 -3.5378 cluster_0
-1.0942 -1.6495 cluster_0
-1.7874 -4.7899 cluster_0
2.2058 3.3303 cluster_2
-3.2744 -0.1091 cluster_1
-3.1888 -0.9758 cluster_0
-0.2895 -0.4453 cluster_0
-0.6816 2.0767 cluster_1
-1.6381 1.9797 cluster_1
1.5011 2.5757 cluster_2
-2.4568 -0.9115 cluster_0
-0.4859 -0.3226 cluster_0
-0.7807 3.4669 cluster_1
-4.4912 -2.3747 cluster_0
2.9190 1.3678 cluster_2
-0.1201 -2.0310 cluster_0
-2.8314 1.2695 cluster_1
-0.7672 2.0688 cluster_1
2.3419 1.5083 cluster_2
1.5376 1.5663 cluster_2
0.8214 -2.2240 cluster_0
-1.6793 -0.8158 cluster_0
3.4752 1.2399 cluster_2
1.4416 0.9970 cluster_2
-2.5638 -2.4862 cluster_0
-2.3605 2.1814 cluster_1
-3.3290 -3.4196 cluster_0
0.3237 -1.5332 cluster_0
1.2458 -1.6812 cluster_0
-1.2424 0.7696 cluster_1
0.4631 0.4061 cluster_2
-1.1190 2.3095 cluster_1
-1.9753 0.2448 cluster_1
-2.8682 0.0403 cluster_1
-0.1182 -0.0131 cluster_1
-0.0415 -2.2272 cluster_0
-2.1227 3.3354 cluster_1
-1.7941 0.5053 cluster_1
0.1728 -0.6761 cluster_0
0.5949 4.4729 cluster_1
1.1181 -1.0104 cluster_2
-3.0796 -3.5679 cluster_0
-0.3479 1.6694 cluster_1
-2.1104 0.9656 cluster_1
0.7044 -2.8973 cluster_0
-0.6921 -3.7879 cluster_0
1.8650 -0.3545 cluster_2
-0.3273 -2.4602 cluster_0
0.5377 -1.1097 cluster_0
-0.4890 -2.1787 cluster_0
4.5299 -1.4597 cluster_2
2.9144 2.1314 cluster_2
2.6741 -0.9812 cluster_2
-2.5358 -0.9367 cluster_0
-2.6813 -0.5880 cluster_0
-2.5884 2.3492 cluster_1
-1.8527 -1.2524 cluster_0
-3.1169 0.8489 cluster_1
-2.5610 3.6752 cluster_1
-0.8582 1.8633 cluster_1
-0.3906 -2.2286 cluster_0
0.1300 -1.8590 cluster_0
1.3610 0.8774 cluster_2
1.3393 -1.8545 cluster_0
-0.3702 1.7346 cluster_1
0.9007 -2.3375 cluster_0
2.2775 -2.1027 cluster_2
2.5208 -1.4009 cluster_2
1.4022 -1.0234 cluster_2
0.0243 1.2998 cluster_1
1.1862 -2.0061 cluster_0
0.1513 -1.4552 cluster_0
-1.3424 1.8103 cluster_1
-0.4965 3.4755 cluster_1
1.4128 0.8586 cluster_2
1.5480 -0.9804 cluster_2
0.2346 -1.8689 cluster_0
2.0105 0.4789 cluster_2
1.0655 -1.8089 cluster_0
2.4262 -2.6192 cluster_2
0.9905 -2.8032 cluster_0
-2.1461 -2.6531 cluster_0
0.0400 0.2437 cluster_2
2.6089 -2.4371 cluster_2
-1.0388 0.6349 cluster_1
-3.3976 -1.9113 cluster_0
1.3090 1.8179 cluster_2
0.3969 -3.0965 cluster_0
-0.7549 -0.0799 cluster_1
